ReporterISO3,PartnerISO3,Year,120810 in 1000 USD 
LKA,GRC,2004,0.015
POL,NLD,2017,0.015
TUR,KAZ,2021,0.015
TUR,MKD,2000,0.015
BRA,GRC,2022,0.016
BRA,NIC,2021,0.016
CMR,USA,2018,0.016
DEU,ROM,2017,0.016
EUN,UNS,2014,0.016
IND,SUR,2008,0.016
RUS,UNS,2020,0.016
SER,LBN,2019,0.016
TUR,MYS,2022,0.016
TUR,PHL,2021,0.016
UGA,CAN,2010,0.016
ZMB,BWA,2019,0.016
AUS,FJI,2006,0.017
BHR,FRE,2020,0.017
CHE,CHN,2007,0.017
IND,SEN,2020,0.017
LTU,GBR,2017,0.017
PER,BES,2021,0.017
POL,UKR,2016,0.017
THA,IND,2015,0.017
BRA,KOR,2022,0.018
BRA,NOR,2018,0.018
BRA,NOR,2022,0.018
CHE,VNM,2002,0.018
EUN,AZE,2000,0.018
EUN,MDG,2000,0.018
MWI,ZAF,2015,0.018
NLD,CZE,2020,0.018
PER,GBR,2007,0.018
ROM,BEL,2017,0.018
CHE,BRA,2002,0.019
EST,LTU,2019,0.019
NLD,BGR,2017,0.019
NLD,CZE,2021,0.019
PER,USA,2002,0.019
POL,IRL,2013,0.019
POL,NLD,2022,0.019
TTO,JAM,2001,0.019
ZAF,GBR,2016,0.019
CHE,DEU,2020,0.02
CHE,ESP,2016,0.02
CHE,NLD,2018,0.02
CHE,SVK,2016,0.02
CHE,SWE,2018,0.02
CZE,LUX,2021,0.02
DNK,FRO,2007,0.02
DNK,HUN,2009,0.02
ESP,BUN,2013,0.02
EUN,MNT,2015,0.02
IND,GRD,2019,0.02
IND,MOZ,2020,0.02
JAM,SXM,2013,0.02
NLD,CYP,2016,0.02
NLD,MLT,2018,0.02
THA,JPN,2011,0.02
TUR,IRL,2022,0.02
AUT,ZAF,2004,0.021
BEL,BDI,2015,0.021
BEL,ZAR,2016,0.021
BRA,CYP,2022,0.021
BRA,NOR,2020,0.021
CAN,SAU,2005,0.021
CHL,UNS,2008,0.021
CZE,AZE,2000,0.021
EUN,BDI,2015,0.021
EUN,ISL,2021,0.021
EUN,ZAR,2016,0.021
FIN,ISL,2021,0.021
FIN,LVA,2012,0.021
FRA,SVK,2011,0.021
