Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,componentnumber,strongcompnum,eigencentrality,clustering
GUY,Guyana,5,1,6,54187.516,43.2,54230.716,1,1,1,0.96011,0.030601,0.001456,0.002859,0,14,0.101389,0.466667
MHL,Marshall Islands,3,0,3,3.054,0,3.054,0,0,0,0,0.011903,0,0.002629,0,36,0.07138,0.5
NIC,Nicaragua,3,2,5,50076.454,13.208,50089.662,4,0.397363,0.417852,1.390523,0.01775,0.007922,0.002826,0,101,0.06765,0.5
PAN,Panama,11,0,11,75488.312,0,75488.312,0,0,0,0,0.065269,0,0.005545,0,46,0.226732,0.409091
PRY,Paraguay,1,2,3,71.811,1952.377,2024.188,5,0.308029,0.326698,0.163462,0.004798,0.005722,0.002002,0,101,0.014172,0.166667
SUR,Suriname,7,0,7,1610.124,0,1610.124,0,0,0,0,0.037167,0,0.005397,0,13,0.117231,0.357143
BRN,Brunei,4,1,5,590.219,0.001,590.22,4,0.337061,0.353476,0,0.026773,0.004166,0.002702,0,101,0.11132,0.833333
BWA,Botswana,4,2,6,1935.212,84.95,2020.162,4,0.32866,0.346761,1.357576,0.012645,0.005281,0.003336,0,101,0.072832,0.6
NAM,Namibia,5,2,7,5845.925,459.174,6305.099,4,0.32866,0.346761,0.642857,0.016441,0.007075,0.004586,0,101,0.094714,0.466667
BRB,Barbados,3,0,3,158.371,0,158.371,0,0,0,0,0.016996,0,0.002562,0,55,0.079826,0.666667
CUB,Cuba,5,0,5,15592.412,0,15592.412,0,0,0,0,0.032484,0,0.003145,0,56,0.131698,0.45
DOM,Dominican Republic,4,2,6,63702.03,778.218,64480.248,4,0.397363,0.417852,20.383949,0.023292,0.00729,0.002697,0,101,0.108284,0.45
GHA,Ghana,9,11,20,25629.904,24483.209,50113.113,4,0.43595,0.468799,90.769426,0.065278,0.044681,0.003682,0,101,0.213952,0.359477
SPM,,1,0,1,1.979,0,1.979,0,0,0,0,0.004472,0,0.002169,0,60,0.028631,0
TTO,Trinidad and Tobago,5,6,11,44537.584,593.33,45130.914,4,0.357022,0.386256,30.581911,0.036101,0.012021,0.002769,0,101,0.136891,0.281818
