International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index","Gross Domestic Product, Deflator, Index"
KIR,,,,,,,,,,,86.23,91.61,99.00,99.17,100.00,101.66,101.11,101.32,105.75,110.58,117.69,120.64,122.57,120.35,124.84,135.73,
KOR,71.75,74.62,77.96,77.00,77.79,80.50,82.94,85.80,88.48,89.40,89.21,91.36,93.95,97.34,100.00,101.28,102.55,103.59,104.53,107.86,110.01,112.45,112.99,112.05,113.80,116.64,118.06
,,,,,,,,,,,,,,,100.00,106.30,110.05,110.44,112.21,112.89,113.77,114.27,115.98,117.10,118.72,125.98,
KWT,,,,,,,,,,,,,,,100.00,117.23,126.00,126.29,117.75,87.19,81.22,94.41,105.05,104.67,90.11,112.99,
KGZ,19.34,23.07,25.16,34.62,44.02,47.25,48.21,50.12,52.68,56.44,61.74,70.93,87.36,90.88,100.00,122.48,133.08,137.31,148.86,153.97,163.28,173.61,180.12,187.23,199.17,230.68,
LVA,46.98,49.74,52.14,52.92,54.84,56.10,58.94,61.90,66.27,73.70,82.86,99.48,111.09,100.36,100.00,106.52,110.39,112.29,114.44,114.58,115.56,118.97,123.60,126.81,128.04,136.41,155.65
LBN,,,,,,,,,81.45,80.58,81.29,83.84,90.15,99.42,100.00,102.97,110.75,113.64,113.82,117.70,118.93,122.45,129.13,134.76,,,
LSO,,,,,,,,,,,,79.47,92.76,94.93,100.00,109.42,111.81,123.30,140.61,154.96,154.50,157.62,176.10,184.63,193.73,191.97,
LBR,,,,,53.64,54.64,54.60,58.16,70.35,69.95,75.72,81.12,95.34,95.47,100.00,110.51,116.48,121.81,122.81,122.86,131.53,130.91,127.10,123.04,125.03,,
LBY,17.16,18.65,18.81,22.30,25.27,27.09,34.47,39.42,48.33,62.13,72.05,73.72,111.21,82.36,100.00,185.20,163.19,212.01,343.78,364.33,405.71,333.66,316.52,258.70,431.42,,
LTU,63.26,70.50,72.87,71.95,72.89,72.65,72.88,72.29,74.23,79.34,84.68,91.93,100.85,97.53,100.00,105.35,108.23,109.62,110.53,110.60,112.34,117.11,121.24,124.52,126.74,134.99,157.82
LUX,65.83,67.55,66.18,69.33,72.53,73.10,74.17,75.79,78.16,81.92,87.21,88.86,94.73,95.56,100.00,103.45,106.83,109.26,112.32,114.81,113.54,115.97,118.42,120.07,125.71,133.48,
MDG,,,,,,,,,,,,78.94,84.85,90.73,100.00,110.39,116.42,122.77,131.03,139.55,152.06,159.60,172.85,184.12,192.06,203.66,
MWI,10.44,12.28,15.10,20.99,27.61,34.25,42.12,46.48,53.38,59.11,70.91,73.82,82.65,89.18,100.00,114.08,134.22,170.86,206.54,249.72,301.02,340.49,361.36,389.29,413.72,440.70,
MLI,102.60,95.81,103.69,100.38,95.22,100.30,99.18,88.54,99.26,103.00,100.27,100.18,102.28,100.77,100.00,107.46,100.23,96.44,97.03,98.58,97.11,97.67,97.21,97.66,96.32,98.17,
MLT,,,,,77.44,80.86,83.06,84.62,86.41,88.08,89.98,92.04,95.01,96.93,100.00,101.12,103.29,105.65,108.12,112.68,114.93,117.39,119.96,122.77,124.75,127.06,133.73
MHL,,,,,,,,,88.25,89.80,92.92,94.36,99.51,99.05,100.00,107.35,114.01,113.39,114.49,110.81,119.14,122.09,120.82,115.35,122.39,129.96,
MRT,,,35.68,37.38,39.76,42.07,44.90,46.91,52.05,59.64,68.04,74.09,82.03,81.74,100.00,117.55,118.08,123.38,108.73,103.52,115.12,120.08,128.81,,,,
MUS,48.52,50.59,54.89,59.28,61.31,65.22,69.26,73.12,78.15,81.49,86.96,94.18,99.54,98.89,100.00,103.16,105.71,,,,,,,,,,
MEX,32.72,38.86,44.85,52.07,57.88,61.38,64.76,67.37,72.73,77.01,81.93,86.67,92.02,95.65,100.00,105.84,110.15,111.83,116.80,120.11,126.84,135.35,142.05,147.91,154.07,162.03,173.42
FSM,77.16,77.69,80.03,79.37,80.23,81.14,81.21,80.89,81.71,83.44,84.58,87.29,91.60,96.56,100.00,101.62,108.86,109.55,112.90,106.95,111.28,119.57,130.78,,,,
MNE,,,,,,,,,,,76.95,89.29,96.11,98.42,100.00,101.20,101.38,103.48,104.55,106.87,112.32,116.62,120.38,122.81,122.60,128.39,
