Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks,clustering,Authority,Hub,componentnumber,strongcompnum,eigencentrality,period,network
NOR,Norway,26,5,31,1918787.528,193.471,1918980.999,4,0.403285,0.428356,7.113748,0.00597,0.581197,0.110048,0.016765,0,89,0.543814,2,1201
POL,Poland,29,41,70,528104.522,105945.971,634050.493,4,0.490022,0.55543,138.267895,0.006258,0.381633,0.114599,0.114818,0,89,0.613088,2,1201
ROM,Romania,26,33,59,895245.656,612945.462,1508191.118,4,0.487859,0.541855,62.685046,0.005748,0.493599,0.102962,0.102793,0,89,0.522579,2,1201
SER,"Serbia, FR(Serbia/Montenegro)",21,43,64,496843.375,445256.758,942100.133,4,0.515152,0.575038,138.198994,0.005442,0.369565,0.075879,0.119679,0,89,0.396181,2,1201
SLE,Sierra Leone,9,1,10,63.574,0.057,63.631,4,0.406998,0.426094,0,0.002445,0.777778,0.050921,0.004989,0,89,0.17236,2,1201
SVK,Slovak Republic,18,22,40,67887.724,350108.496,417996.22,4,0.46723,0.510181,19.681032,0.004179,0.693333,0.076646,0.071882,0,89,0.388745,2,1201
SVN,Slovenia,17,12,29,38987.396,53112.592,92099.988,4,0.404762,0.440045,3.734228,0.003802,0.80117,0.07403,0.035197,0,89,0.363115,2,1201
SWE,Sweden,33,16,49,144724.441,2649.287,147373.728,4,0.482533,0.512443,175.278619,0.009304,0.514936,0.120015,0.053571,0,89,0.701163,2,1201
UKR,Ukraine,25,77,102,57944.619,8470728.092,8528672.711,3,0.590909,0.667421,642.897412,0.006862,0.229589,0.096662,0.198795,0,89,0.496008,2,1201
BDI,Burundi,3,4,7,1406.108,47.252,1453.36,5,0.355878,0.374585,0.582322,0.002382,0.65,0.004912,0.007994,0,89,0.01747,2,1201
UGA,Uganda,17,27,44,2110.728,42965.867,45076.595,4,0.509217,0.547134,371.050477,0.005975,0.355556,0.047395,0.080192,0,89,0.169315,2,1201
COG,Congo [Republic],12,0,12,136.004,0,136.004,0,0,0,0,0.003136,0.560606,0.052511,0,0,57,0.207288,2,1201
GAB,Gabon,6,0,6,22624.371,0,22624.371,0,0,0,0,0.002469,0.5,0.02704,0,0,56,0.108919,2,1201
GHA,Ghana,18,19,37,5500.325,24987.559,30487.884,4,0.495516,0.526018,94.447819,0.004224,0.408832,0.073994,0.054494,0,89,0.295198,2,1201
GMB,Gambia,4,0,4,342.238,0,342.238,0,0,0,0,0.001875,0.416667,0.022298,0,0,54,0.052926,2,1201
