International Financial Statistics (IFS),,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index","Prices, Consumer Price Index, All items, Index"
JOR,62.50,64.40,66.39,66.79,67.24,68.43,69.68,70.82,73.20,75.76,80.49,84.31,96.09,95.38,100.00,104.16,108.87,114.12,117.43,116.40,115.49,119.33,124.65,125.60,126.02,127.72,133.12
KAZ,28.40,33.34,35.73,38.69,43.79,47.45,50.22,53.45,57.13,61.46,66.82,74.07,86.76,93.11,100.00,108.42,113.95,120.61,128.70,137.28,157.25,168.95,179.12,188.52,201.28,217.47,
KEN,27.56,30.69,32.75,34.63,38.09,40.27,41.06,45.09,50.34,55.53,63.55,69.75,88.06,96.19,100.00,114.02,124.72,131.85,140.91,150.19,159.65,172.43,180.51,189.97,200.23,212.47,228.74
KIR,,,,,,,,,,,80.47,83.36,94.76,104.06,100.00,101.50,98.41,96.94,98.98,99.55,101.46,101.82,102.39,100.53,,,
KOR,63.16,65.97,70.92,71.50,73.11,76.09,78.19,80.94,83.84,86.15,88.08,90.32,94.54,97.14,100.00,104.03,106.30,107.68,109.06,109.83,110.89,113.05,114.72,115.16,115.78,118.67,124.71
,,,,,,,89.36,88.39,87.45,86.24,86.77,90.56,99.02,96.64,100.00,107.34,109.99,111.94,112.42,111.82,112.12,113.79,114.99,118.07,118.30,122.27,136.43
KWT,66.17,66.62,66.70,68.70,69.94,70.85,71.48,72.17,73.07,76.10,78.42,82.73,91.48,95.70,100.00,104.84,108.25,111.16,114.39,118.13,121.91,124.56,125.23,126.60,129.26,133.69,
KGZ,22.09,27.27,30.12,41.27,48.99,52.38,53.49,55.09,57.35,59.84,63.16,69.62,86.69,92.62,100.00,116.64,119.87,127.79,137.42,146.36,146.93,151.59,153.93,155.68,165.52,185.23,211.02
LAO,7.02,8.95,17.09,38.49,48.14,51.91,57.42,66.32,73.26,78.51,83.64,87.54,94.22,94.36,100.00,107.57,112.15,119.29,124.22,125.80,127.81,128.87,131.50,135.87,142.80,148.16,182.18
LVA,49.62,53.81,56.31,57.64,59.17,60.64,61.82,63.64,67.58,72.14,76.86,84.61,97.65,101.10,100.00,104.37,106.73,106.70,107.36,107.54,107.70,110.85,113.66,116.86,117.11,120.95,141.89
LBN,,,,,,,,,,,,,95.03,96.17,100.00,104.97,111.88,117.27,119.45,114.97,114.07,119.00,126.23,130.02,240.37,612.36,
LSO,76.36,,,47.76,50.69,45.81,61.30,65.37,68.65,71.01,75.32,81.36,90.07,96.65,100.00,105.04,111.39,116.81,123.09,127.05,135.43,141.45,148.17,155.86,163.62,173.51,187.86
LBR,,,,,,41.03,46.84,51.68,55.72,61.76,66.29,73.85,86.76,93.21,100.00,108.49,115.90,124.68,136.98,147.59,160.63,180.58,223.13,,,,
LBY,92.31,95.59,99.13,101.76,98.81,90.10,81.27,79.49,77.74,79.80,80.97,86.03,94.94,97.28,100.00,115.52,122.52,125.71,,,,,,,,,
LTU,63.94,69.62,73.15,73.68,74.40,75.42,75.63,74.78,75.65,77.66,80.56,85.18,94.49,98.70,100.00,104.13,107.35,108.47,108.58,107.62,108.60,112.64,115.68,118.38,119.80,125.41,150.13
LUX,75.06,76.09,76.82,77.61,80.05,82.19,83.89,85.61,87.52,89.69,92.08,94.21,97.42,97.78,100.00,103.41,106.16,108.01,108.68,109.20,109.52,111.41,113.12,115.09,116.03,118.96,126.50
MDG,27.66,28.90,30.70,33.75,37.75,40.74,47.46,46.65,53.16,62.92,69.70,76.87,84.01,91.54,100.00,109.48,115.74,122.48,129.93,139.55,147.97,160.71,174.52,184.31,192.06,203.22,219.81
MWI,12.18,13.29,17.24,24.97,32.36,39.70,45.56,49.92,55.62,64.20,73.17,78.99,85.87,93.10,100.00,107.62,130.52,166.12,205.65,250.62,305.03,340.24,382.50,418.34,454.43,496.83,600.93
MYS,71.42,73.32,77.18,79.30,80.52,81.66,83.14,84.04,85.24,87.77,90.94,92.78,97.83,98.40,100.00,103.17,104.89,107.10,110.46,112.79,115.15,119.61,120.66,121.46,120.08,123.05,127.21
MDV,65.87,70.86,69.86,71.93,71.08,71.56,74.55,73.61,72.37,73.31,75.32,80.44,90.12,94.21,100.00,111.27,123.39,128.08,130.80,132.04,132.71,136.45,136.26,136.56,134.69,135.42,138.58
MLI,75.12,74.84,77.86,76.93,76.41,80.37,84.42,83.28,80.70,85.86,87.19,88.42,96.53,98.90,100.00,102.96,108.44,107.78,108.73,110.31,108.32,110.23,110.56,108.73,109.20,113.49,
