Source,Target,1201 in 1000 USD ,Year
BRA,LCA,112082.386,2020
BRA,LCA,172009.469,2021
BRA,LKA,278.317,2014
BRA,LTU,127417.934,2009
BRA,LTU,25279.479,2010
BRA,MAR,25574.94,1997
BRA,MAR,13491.08,1999
BRA,MAR,13125.787,2000
BRA,MAR,7065.305,2001
BRA,MAR,24465.952,2002
BRA,MAR,33821.161,2003
BRA,MAR,32709.102,2004
BRA,MAR,31310.456,2005
BRA,MAR,23260.455,2006
BRA,MAR,42930.159,2007
BRA,MAR,83903.065,2008
BRA,MAR,57231.561,2009
BRA,MAR,10193.647,2010
BRA,MAR,29085.051,2014
BRA,MAR,1065.402,2018
BRA,MAR,6707.645,2020
BRA,MEX,12927.88,1997
BRA,MEX,25170.242,1998
BRA,MEX,4632.673,1999
BRA,MEX,29767.481,2000
BRA,MEX,36478.143,2001
BRA,MEX,7009.652,2002
BRA,MEX,10523.039,2003
BRA,MEX,117835.543,2004
BRA,MEX,9277.357,2005
BRA,MEX,0.906,2006
BRA,MEX,6.05,2007
BRA,MEX,18741.378,2009
BRA,MEX,18100.798,2010
BRA,MEX,150455.283,2013
BRA,MEX,34436.245,2014
BRA,MEX,46005.646,2016
BRA,MEX,95803.095,2017
BRA,MEX,134425.318,2018
BRA,MEX,232873.177,2019
BRA,MEX,288607.189,2020
BRA,MEX,547087.981,2021
BRA,MEX,438494.069,2022
BRA,MHL,0.063,2019
BRA,MHL,0.34,2020
BRA,MHL,1.134,2021
BRA,MHL,0.654,2022
BRA,MLT,0.117,2021
BRA,MLT,0.091,2022
BRA,MMR,320.768,2018
BRA,MOZ,0.014,2007
BRA,MOZ,4.71,2009
BRA,MOZ,126.862,2010
BRA,MOZ,180.214,2013
BRA,MOZ,180,2014
BRA,MOZ,148.2,2016
BRA,MOZ,45,2017
BRA,MOZ,59.63,2018
BRA,MOZ,18847.624,2022
BRA,MUS,39.749,2016
BRA,MYS,25780.316,1997
BRA,MYS,9574.378,1998
BRA,MYS,9889.852,1999
BRA,MYS,712.5,2000
BRA,MYS,2269.649,2001
BRA,MYS,2203.462,2002
BRA,MYS,13284.646,2003
BRA,MYS,21473.316,2004
BRA,MYS,13209.271,2007
BRA,MYS,11.122,2008
BRA,MYS,12.413,2010
BRA,MYS,1195.621,2011
BRA,MYS,6907.902,2012
BRA,MYS,52917.935,2013
BRA,MYS,33547.068,2014
BRA,MYS,34565.948,2015
BRA,MYS,27949.608,2016
BRA,MYS,30570.68,2017
BRA,MYS,6193.127,2018
BRA,MYS,3763.525,2019
BRA,MYS,10485.261,2020
BRA,MYS,7054.687,2021
BRA,MYS,37696.603,2022
BRA,NAM,0.119,2008
BRA,NGA,2552,2005
BRA,NGA,37.05,2011
BRA,NGA,32.7,2013
BRA,NGA,1176.726,2014
BRA,NGA,166.776,2015
BRA,NGA,99.534,2017
BRA,NGA,217.091,2018
BRA,NIC,29.074,2022
BRA,NLD,1266854.912,1997
BRA,NLD,699266.368,1998
BRA,NLD,543569.106,1999
BRA,NLD,656760.836,2000
BRA,NLD,590705.674,2001
BRA,NLD,543968.708,2002
BRA,NLD,766070.116,2003
BRA,NLD,952308.657,2004
BRA,NLD,1199631.812,2005
BRA,NLD,853988.507,2006
BRA,NLD,932284.311,2007
BRA,NLD,1030892.422,2008
BRA,NLD,974309.547,2009
BRA,NLD,550551.009,2010
BRA,NLD,710252.071,2011
BRA,NLD,550153.516,2012
BRA,NLD,829561.199,2013
BRA,NLD,1013057.281,2014
BRA,NLD,580865.886,2015
BRA,NLD,571489.078,2016
BRA,NLD,592434.294,2017
BRA,NLD,531186.859,2018
BRA,NLD,604781.141,2019
BRA,NLD,1109035.434,2020
BRA,NLD,1198838.475,2021
BRA,NLD,1129241.344,2022
BRA,NOR,28765.508,1997
BRA,NOR,24919.952,1998
BRA,NOR,66594.891,1999
BRA,NOR,102966.528,2000
BRA,NOR,75609.212,2001
BRA,NOR,77367.656,2002
BRA,NOR,81744.695,2003
BRA,NOR,94257.097,2004
BRA,NOR,92187.438,2005
BRA,NOR,86321.973,2006
BRA,NOR,109013.873,2007
BRA,NOR,176612.727,2008
BRA,NOR,182758.523,2009
BRA,NOR,147868.994,2010
BRA,NOR,159695.09,2011
BRA,NOR,215359.733,2012
BRA,NOR,168484.391,2013
BRA,NOR,156680.17,2014
BRA,NOR,139647.823,2015
BRA,NOR,99482.15,2016
BRA,NOR,103446.086,2017
BRA,NOR,110831.828,2018
BRA,NOR,148285.219,2019
BRA,NOR,125055.316,2020
BRA,NOR,156155.122,2021
BRA,NOR,143900.613,2022
BRA,NPL,345.913,2016
BRA,OAS,57732.396,1997
BRA,OAS,97810.672,1998
BRA,OAS,2015.354,1999
BRA,OAS,21071.01,2000
BRA,OAS,44958.922,2001
BRA,OAS,34814.4,2002
BRA,OAS,117946.868,2003
BRA,OAS,213654.612,2004
BRA,OAS,121594.512,2005
BRA,OAS,119781.32,2006
BRA,OAS,60437.607,2007
BRA,OAS,75714.515,2008
BRA,OAS,216429.677,2009
BRA,OAS,247487.873,2010
BRA,OAS,482284.178,2011
BRA,OAS,607590.436,2012
BRA,OAS,525551.14,2013
BRA,OAS,379610.995,2014
BRA,OAS,376106.269,2015
BRA,OAS,330352.431,2016
BRA,OAS,382263.652,2017
BRA,OAS,132002.238,2018
BRA,OAS,231196.945,2019
BRA,OAS,334952.939,2020
BRA,OAS,532638.597,2021
BRA,OAS,537277.151,2022
BRA,PAK,48615.242,2015
BRA,PAK,183149.602,2016
BRA,PAK,358241.607,2017
BRA,PAK,255941.866,2018
BRA,PAK,267966.064,2019
BRA,PAK,416187.152,2020
BRA,PAK,693921.186,2021
BRA,PAK,707292.919,2022
BRA,PAN,603,2005
BRA,PAN,17.811,2015
BRA,PAN,0.025,2018
BRA,PAN,0.182,2019
BRA,PAN,0.221,2020
BRA,PAN,0.328,2021
BRA,PAN,0.333,2022
BRA,PER,1296.104,2001
BRA,PER,1.8,2009
BRA,PER,44.848,2015
BRA,PER,0.001,2019
BRA,PER,1.059,2021
BRA,PHL,3335.987,1997
BRA,PHL,4535.378,2001
BRA,PHL,423.503,2002
BRA,PHL,8.999,2007
BRA,PHL,63.971,2008
BRA,PHL,24.028,2009
BRA,PHL,50.752,2010
BRA,PHL,138.592,2011
BRA,PHL,63.232,2012
BRA,PHL,94.924,2013
BRA,PHL,298.745,2014
BRA,PHL,71.362,2015
BRA,PHL,4070,2018
BRA,PHL,5669.564,2021
BRA,PHL,10974.697,2022
BRA,POL,42.384,2005
BRA,POL,44.89,2006
BRA,POL,34.324,2007
BRA,POL,0.262,2008
BRA,POL,14.623,2011
BRA,PRK,12912.339,1997
BRA,PRK,1828.236,2003
BRA,PRK,56401.428,2004
BRA,PRK,3956.749,2008
BRA,PRK,2240.01,2011
BRA,PRT,4755.856,1997
BRA,PRT,40238.896,1998
BRA,PRT,55550.815,2000
BRA,PRT,154359.223,2001
BRA,PRT,164609.343,2002
BRA,PRT,80492.057,2003
BRA,PRT,148937.968,2004
BRA,PRT,88119.015,2005
BRA,PRT,179437.491,2006
BRA,PRT,246134.808,2007
BRA,PRT,265101.873,2008
BRA,PRT,275793.018,2009
BRA,PRT,281721.231,2010
BRA,PRT,51938.891,2011
BRA,PRT,259202.05,2012
BRA,PRT,106063.904,2013
BRA,PRT,163782.554,2014
BRA,PRT,168045.16,2015
BRA,PRT,85551.414,2016
BRA,PRT,80152.149,2017
BRA,PRT,165749.458,2018
BRA,PRT,120354.371,2019
BRA,PRT,146804.868,2020
BRA,PRT,243480.354,2021
BRA,PRT,345684.645,2022
BRA,PRY,3927.108,1997
BRA,PRY,11225.917,1998
BRA,PRY,2286.968,1999
BRA,PRY,2581.654,2000
BRA,PRY,2877.377,2001
BRA,PRY,2697.091,2002
BRA,PRY,3336.598,2003
BRA,PRY,5690.845,2004
BRA,PRY,3674.945,2005
BRA,PRY,3110.314,2006
BRA,PRY,5223.999,2007
BRA,PRY,4762.906,2008
BRA,PRY,7466.183,2009
BRA,PRY,4009.277,2010
BRA,PRY,7028.161,2011
BRA,PRY,4724.36,2012
BRA,PRY,2329.358,2013
BRA,PRY,2202.676,2014
BRA,PRY,1164.115,2015
BRA,PRY,1229.499,2016
BRA,PRY,4611.556,2017
BRA,PRY,3653.615,2018
BRA,PRY,2570.228,2019
BRA,PRY,3305.83,2020
BRA,PRY,8342.625,2021
BRA,PRY,3977.385,2022
BRA,ROM,13977.559,2001
BRA,ROM,6274.19,2002
BRA,ROM,6925.257,2003
BRA,ROM,12034.2,2004
BRA,ROM,9074.721,2008
BRA,ROM,12842.143,2009
BRA,ROM,24303.597,2010
BRA,ROM,8333.127,2011
BRA,ROM,39700.538,2013
BRA,ROM,8970.042,2014
BRA,ROM,17419.676,2015
BRA,ROM,19556.344,2016
BRA,ROM,37082.644,2017
BRA,ROM,66136.888,2018
BRA,ROM,17544.734,2019
BRA,ROM,76149.537,2020
BRA,ROM,59931.675,2021
BRA,ROM,86215.342,2022
BRA,RUS,12944.576,1997
BRA,RUS,1057.625,1998
BRA,RUS,8802.332,2002
BRA,RUS,1056.033,2005
BRA,RUS,35941.647,2007
BRA,RUS,57039.079,2008
BRA,RUS,157575.425,2010
BRA,RUS,143077.645,2011
BRA,RUS,73111.704,2012
BRA,RUS,296194.739,2014
BRA,RUS,231534.581,2015
BRA,RUS,411426.752,2016
BRA,RUS,415723.037,2017
BRA,RUS,450301.25,2018
BRA,RUS,354785.511,2019
BRA,RUS,386638.639,2020
BRA,RUS,343286.654,2021
BRA,RUS,889125.912,2022
BRA,SAU,295501.06,2022
BRA,SDN,3.604,2010
BRA,SDN,177.913,2011
BRA,SEN,226.602,2014
BRA,SEN,1263.47,2015
BRA,SEN,118.942,2016
BRA,SEN,87.111,2020
BRA,SER,790.95,2002
BRA,SGP,223.922,2007
BRA,SGP,888.864,2008
BRA,SGP,770.316,2009
BRA,SGP,789.944,2010
BRA,SGP,1002.794,2011
BRA,SGP,481.001,2012
BRA,SGP,12028.514,2013
BRA,SGP,491.102,2014
BRA,SGP,307.82,2015
BRA,SGP,0.751,2019
BRA,SGP,0.246,2020
BRA,SGP,0.137,2021
BRA,SGP,0.345,2022
BRA,SLE,29.914,2021
BRA,SUD,19.89,2020
BRA,SUR,1.82,2015
BRA,SVK,12.897,2007
BRA,SVK,1993.55,2018
BRA,SVN,1832.979,2004
BRA,SVN,2097.594,2006
BRA,SVN,176.638,2013
BRA,SVN,3596.351,2018
BRA,SWE,70.732,2002
BRA,SWE,226.353,2003
BRA,SWE,520.7,2004
BRA,SWE,163.396,2005
BRA,SWE,186.964,2006
BRA,SWE,968.713,2007
BRA,SWE,1345.149,2008
BRA,SWE,513.428,2009
BRA,SYR,2070.914,2004
BRA,SYR,1654.262,2006
BRA,TCA,3166.988,2013
BRA,TCA,7810.691,2014
BRA,TCA,3034.2,2015
BRA,TCA,19147.852,2018
BRA,TCA,7103.441,2019
BRA,THA,48354.292,1997
BRA,THA,25525.472,1998
BRA,THA,9838.324,1999
BRA,THA,19261.01,2000
BRA,THA,6782.922,2001
BRA,THA,18806.152,2002
BRA,THA,19983.024,2003
BRA,THA,94630.311,2004
BRA,THA,146309.771,2005
BRA,THA,172033.267,2006
BRA,THA,278934.422,2007
BRA,THA,536432.021,2008
BRA,THA,362578.912,2009
BRA,THA,444871.645,2010
BRA,THA,577797.304,2011
BRA,THA,598155.283,2012
BRA,THA,589168.734,2013
BRA,THA,626409.931,2014
BRA,THA,672557.837,2015
BRA,THA,586642.03,2016
BRA,THA,622763.101,2017
BRA,THA,467143.929,2018
BRA,THA,602178.142,2019
BRA,THA,911435.097,2020
BRA,THA,1289044.154,2021
BRA,THA,1679249.268,2022
BRA,TUN,29921.947,2012
BRA,TUN,47482.955,2014
BRA,TUN,61172.268,2015
BRA,TUN,13495.569,2016
BRA,TUN,23209.81,2017
BRA,TUN,68113.343,2018
BRA,TUN,70086.304,2019
BRA,TUN,85280.844,2020
BRA,TUN,137249.752,2021
BRA,TUN,106936.023,2022
BRA,TUR,16836.852,1997
BRA,TUR,21127.766,1998
BRA,TUR,2501.322,1999
BRA,TUR,10229.18,2000
BRA,TUR,722.411,2002
BRA,TUR,14883.591,2003
BRA,TUR,12215.233,2004
BRA,TUR,30958.964,2005
BRA,TUR,39059.764,2006
BRA,TUR,18864.447,2007
BRA,TUR,54071.855,2008
BRA,TUR,6226.679,2009
BRA,TUR,82603.571,2010
BRA,TUR,162055.202,2011
BRA,TUR,4869.015,2012
BRA,TUR,67959.032,2013
BRA,TUR,234914.103,2014
BRA,TUR,49347.135,2015
BRA,TUR,101936.598,2016
BRA,TUR,104760.808,2017
BRA,TUR,521302.862,2018
BRA,TUR,443780.775,2019
BRA,TUR,720763.111,2020
BRA,TUR,1014906.698,2021
BRA,TUR,1089561.834,2022
BRA,TZA,0.1,2022
BRA,UGA,2.926,2017
BRA,UKR,6706.34,2005
BRA,UKR,4326.434,2020
BRA,UKR,19840.78,2021
BRA,UMI,1105.35,2008
BRA,UNS,19149.184,1997
BRA,UNS,36357.128,1998
BRA,UNS,13007.544,1999
BRA,URY,23534.176,1997
BRA,URY,6298.623,1998
