Id,Label,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,pageranks,clustering,eigencentrality,componentnumber,strongcompnum
CAN,Canada,22,44,66,107930.253,96815.387,204745.64,3,0.515815,0.579403,1125.798152,0.106067,0.181006,0.009938,0.165657,0.478479,0,107
CHE,Switzerland,24,24,48,7265.19,844.766,8109.956,3,0.485126,0.527516,637.231736,0.156243,0.122835,0.010961,0.3,0.673791,0,107
CHL,Chile,10,5,15,27004.54,92.81,27097.35,3,0.428283,0.452044,22.060657,0.070672,0.018299,0.003632,0.381818,0.228173,0,107
CHN,China,24,21,45,8120.183,82819.825,90940.008,3,0.494172,0.529088,1001.518567,0.136629,0.103226,0.01081,0.296402,0.698527,0,107
CIV,Cote d'Ivoire,6,7,13,568.273,301.296,869.569,4,0.341385,0.368318,206.985665,0.039509,0.020295,0.003824,0.204545,0.117899,0,107
CMR,Cameroon,9,1,10,4538.458,0.852,4539.31,1,1,1,36.948865,0.068418,0.000132,0.003597,0.311111,0.244553,0,73
COG,Congo [Republic],3,0,3,298.294,0,298.294,0,0,0,0,0.011113,0,0.00257,0.5,0.055882,0,83
COK,Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0.00193,0,0,1,109
COL,Colombia,8,8,16,139605.184,16.434,139621.618,4,0.379928,0.413129,315.69093,0.027685,0.022519,0.007127,0.217949,0.110687,0,107
CPV,Cape Verde,3,0,3,516.043,0,516.043,0,0,0,0,0.017289,0,0.002465,0.333333,0.040398,0,77
CRI,Costa Rica,10,5,15,15575.891,61.932,15637.823,4,0.309942,0.329796,53.670087,0.071009,0.005019,0.00569,0.282051,0.241515,0,107
CUB,Cuba,5,0,5,36869.113,0,36869.113,0,0,0,0,0.040756,0,0.002841,0.5,0.129083,0,20
CUW,Cura�ao,3,0,3,1.692,0,1.692,0,0,0,0,0.034129,0,0.00222,0.5,0.07739,0,87
CYM,Cayman Islands,2,0,2,22.054,0,22.054,0,0,0,0,0.016569,0,0.002375,0.5,0.052341,0,62
CYP,Cyprus,12,0,12,2504.617,0,2504.617,0,0,0,0,0.088925,0,0.005984,0.69697,0.477908,0,44
CZE,Czech Republic,16,17,33,11965.311,1123.605,13088.916,3,0.454936,0.493711,265.364255,0.120984,0.088863,0.008781,0.41502,0.61263,0,107
DEU,Germany,33,70,103,551467.31,10225.837,561693.147,3,0.577657,0.654874,1906.978156,0.178762,0.29626,0.014278,0.14973,1,0,107
DNK,Denmark,15,35,50,46166.45,20182.917,66349.367,4,0.437113,0.509041,430.585017,0.112063,0.161889,0.00733,0.269231,0.545885,0,107
DOM,Dominican Republic,4,4,8,84054.652,866.316,84920.968,4,0.348112,0.374214,6.784837,0.033378,0.016435,0.002444,0.375,0.114121,0,107
DZA,Algeria,12,0,12,46633.345,0,46633.345,0,0,0,0,0.096359,0,0.005403,0.537879,0.393243,0,19
ECU,Ecuador,3,3,6,69439.526,334.559,69774.085,3,0.418972,0.440252,1.3,0.021128,0.012521,0.002411,0.5,0.059237,0,107
EGY,"Egypt, Arab Rep.",9,4,13,101746.144,21.828,101767.972,5,0.319277,0.344497,15.693835,0.075509,0.014793,0.003877,0.371795,0.30358,0,107
ESP,Spain,26,24,50,68792.606,88513.134,157305.74,4,0.424,0.479953,559.970716,0.153532,0.101683,0.009412,0.219231,0.742665,0,107
EST,Estonia,12,6,18,1776.706,1762.72,3539.426,4,0.322188,0.347484,30.223145,0.082381,0.025391,0.009279,0.528571,0.44662,0,107
ETH,Ethiopia,6,7,13,368.11,1321.181,1689.291,3,0.423154,0.450472,112.252519,0.051548,0.021737,0.003074,0.219697,0.177905,0,107
EUN,European Union,0,92,92,0,62247.881,62247.881,3,0.626471,0.711268,0,0,0.267188,0.00193,0.054109,0,0,110
FIN,Finland,11,7,18,1627.309,92.383,1719.692,3,0.438923,0.464623,207.733471,0.085423,0.03885,0.006784,0.571429,0.413451,0,107
FJI,Fiji,4,4,8,26462.078,17.481,26479.559,3,0.420635,0.443396,151.157801,0.033481,0.01182,0.002878,0.3,0.143118,0,107
FRA,France,31,45,76,216455.708,8261.18,224716.888,3,0.512077,0.578616,1192.805796,0.167104,0.201942,0.012339,0.18235,0.869314,0,107
FRE,Free Zones,3,0,3,265.862,0,265.862,0,0,0,0,0.005523,0,0.003162,0.333333,0.049896,0,16
FRO,Faroe Islands,2,0,2,0.343,0,0.343,0,0,0,0,0.01822,0,0.002126,0,0.0308,0,54
GAB,Gabon,3,0,3,147.777,0,147.777,0,0,0,0,0.038872,0,0.002171,0.5,0.087142,0,78
GBR,United Kingdom,31,43,74,74490.505,48374.733,122865.238,3,0.522167,0.581761,1511.356613,0.176179,0.198102,0.015167,0.20708,0.911383,0,107
GEO,Georgia,6,3,9,385.012,505.139,890.151,5,0.283044,0.304324,143.299464,0.041697,0.011843,0.004245,0.333333,0.161719,0,107
GHA,Ghana,8,13,21,2358.044,1191.618,3549.662,3,0.463895,0.494497,387.501452,0.063029,0.040635,0.003648,0.220588,0.189884,0,107
GIB,Gibraltar,3,0,3,5.583,0,5.583,0,0,0,0,0.024075,0,0.002581,0.166667,0.092913,0,92
GIN,Guinea,3,0,3,10.55,0,10.55,0,0,0,0,0.01824,0,0.00242,0.166667,0.046977,0,75
GMB,Gambia,1,0,1,0.338,0,0.338,0,0,0,0,0.011287,0,0.002033,0,0.029343,0,86
GNB,Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0.00193,0,0,2,111
GRC,Greece,17,9,26,10233.002,1118.275,11351.277,4,0.395522,0.428066,102.890483,0.124939,0.043006,0.008336,0.480952,0.588794,0,107
GRL,Greenland,2,0,2,5.211,0,5.211,0,0,0,0,0.01822,0,0.002126,0,0.0308,0,53
GTM,Guatemala,3,8,11,56180.22,38.92,56219.14,3,0.434426,0.462264,187.811379,0.017619,0.031451,0.003891,0.347222,0.064107,0,107
GUM,Guam,1,0,1,0.031,0,0.031,0,0,0,0,0.006213,0,0.002086,0,0.028908,0,97
GUY,Guyana,5,3,8,771.069,5.362,776.431,3,0.415686,0.437107,16.30022,0.05175,0.008505,0.002449,0.285714,0.129379,0,107
HKG,"Hong Kong, China",16,0,16,50729.085,0,50729.085,0,0,0,0,0.109396,0,0.006081,0.595833,0.490948,0,32
HND,Honduras,6,2,8,27889.856,3.245,27893.101,3,0.414873,0.434748,127.142086,0.024795,0.008079,0.005786,0.4,0.104663,0,107
